term_srcdb,subject,course_number,code,crn,section,title,enrolled,campus_code,schedule_type,status_code,is_cancelled,meets,instructor,start_date,end_date,meetingTimes,timestamp
202602,SUS,331,SUS 331,42695,400,"+*SUSTAINABILITY, JUSTICE, AND ENGAGEMENT",3,DB,Y,A,False,,R. Austin-Castillo,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,331,SUS 331,42696,401,"+*SUSTAINABILITY, JUSTICE, AND ENGAGEMENT",3,DB,Y,A,False,,A. Leytem,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,350,SUS 350,42218,1,+*SUSTAINABLE COMMUNITIES,4,C,A,F,False,TR 12-1:50p,K. Townsend,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1200', 'end_time': '1350'}, {'meet_day': '3', 'start_time': '1200', 'end_time': '1350'}]",2025-11-20T11:34:50
202602,SUS,350,SUS 350,35614,400,+*SUSTAINABLE COMMUNITIES,4,DB,Y,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,350,SUS 350,40950,401,+*SUSTAINABLE COMMUNITIES,4,DB,Y,A,False,,R. Austin-Castillo,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,350,SUS 350,43653,402,+*SUSTAINABLE COMMUNITIES,4,DB,Y,A,False,,R. Austin-Castillo,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,401,SUS 401,35685,1,RESEARCH,3,C,G,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,401,SUS 401,37192,400,RESEARCH,3,DB,Y,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,401,SUS 401,38071,501,RESEARCH,3,B,G,A,False,,M. Shinderman,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,410,SUS 410,35330,1,INTERNSHIP,3,C,J,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,410,SUS 410,35899,400,INTERNSHIP,3,DB,Y,A,False,,A. Scheerer,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,410,SUS 410,35235,501,INTERNSHIP,3,B,J,A,False,,M. Shinderman,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,SUS,420,SUS 420,36918,400,SOCIAL DIMENSIONS OF SUSTAINABILITY,1,DB,Y,A,False,,A. Jerolleman,2026-01-05,2026-03-13,[],2025-11-20T11:34:50
202602,AEC,230X,AEC 230X,41923,1,THE ECONOMICS OF SUSTAINABILITY,1,C,A,A,False,TR 10-11:20a,W. Jaeger,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '1000', 'end_time': '1120'}, {'meet_day': '3', 'start_time': '1000', 'end_time': '1120'}]",2025-11-20T11:34:50
202602,SUS,102,SUS 102,37716,001,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,HYB,A,False,M 10-10:50a,L. Reynolds,2026-01-05,2026-03-13,"[{'meet_day': '0', 'start_time': '1000', 'end_time': '1050'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,36727,002,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,HYB,A,False,M 11-11:50a,L. Reynolds,2026-01-05,2026-03-13,"[{'meet_day': '0', 'start_time': '1100', 'end_time': '1150'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,37717,003,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,HYB,A,False,W 10-10:50a,L. Reynolds,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1000', 'end_time': '1050'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,36976,004,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,HYB,A,False,W 11-11:50a,L. Reynolds,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1100', 'end_time': '1150'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,35586,010,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,T 9-11:50a,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '900', 'end_time': '1150'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,35587,011,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,T 9-11:50a,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '1', 'start_time': '900', 'end_time': '1150'}]",2025-11-20T11:49:17
